country_name,growth,oil,rgdp60,tradeshare,yearsschool,rev_coups,assasinations
Trinidad and Tobago,1.1207864285,0,5627.001953125,0.5527223349,4.3099999428,0.0333333351,0
Ecuador,2.3880929947,0,1460.9996337891,0.5606425405,2.9500000477,0.5333333611,0
Denmark,2.1793701649,0,6759.9990234375,0.56074965,10.0699996948,0,0
Switzerland,1.421865344,0,9408.9970703125,0.5671309829,6.8699998856,0,0
Austria,2.8891851902,0,5143.0009765625,0.5752748251,3.6500000954,0,0
Zimbabwe,0.838155508,0,988.9998779297,0.5828142762,1.5399999619,0.200000003,0.2333333343
Paraguay,2.3819315434,0,1176.9998779297,0.6030353308,3.3499999046,0.0666666701,0.0333333351
Costa Rica,1.6136965752,0,2096.0002441406,0.6050312519,3.9200000763,0,0
Portugal,3.6473097801,0,1869,0.6136168838,1.9400000572,0.2333333343,0
Togo,0.4627753198,0,366.9999389648,0.6260797381,0.2700000107,0.1666666716,0.0333333351
Iceland,3.0123889446,0,4963.9985351563,0.6394841671,5.6300001144,0,0
Israel,2.8109693527,0,3476.9992675781,0.6469135284,6.9899997711,0.0666666701,0.200000003
South Africa,0.3920211196,0,2191.0002441406,0.6512036324,4.0599999428,0.1000000015,0.3666666746
Norway,3.1824936867,0,5610.0004882813,0.6815551519,5.5599999428,0,0
Sierra Leone,-0.3398342133,0,877.9999389648,0.6994329095,0.5299999714,0.4740740657,0.0333333351
Dominican Republic,2.4987690449,0,1194.9997558594,0.7048199177,2.3800001144,0.3000000119,0.200000003
Ghana,-0.9631622434,0,894,0.7292323112,0.6899999976,0.4370370507,0.1000000015
Sri Lanka,2.7045984268,0,1258.9998779297,0.7429715991,3.4300000668,0.200000003,0.200000003
"Taiwan, China",6.6247344017,0,1256,0.7454978228,3.3199999332,0.0333333351,0.0666666701
Panama,2.0271885395,0,1574.9998779297,0.7798470855,4.2600002289,0.1333333403,0.0666666701
Papua New Guinea,1.1203711033,0,1235.0001220703,0.798375845,1.1299999952,0.0333333351,0
Kenya,1.9625091553,0,659.0000610352,0.814710021,1.2000000477,0.0333333351,0.1444444507
Ireland,3.2544939518,0,3310.9990234375,0.8229563832,6.4499998093,0,0.0666666701
Jamaica,0.4177901745,0,1772.9998779297,0.8302383423,2.4600000381,0,0.1333333403
Netherlands,2.2005772591,0,6076.9970703125,0.8342041969,5.2699999809,0,0
Cyprus,5.3841843605,0,2037.0003662109,0.9793553948,4.2899999619,0.1000000015,0.1666666716
Malaysia,4.1145439148,0,1420.0002441406,1.1053642035,2.3399999142,0.0333333351,0.0333333351
Belgium,2.6513345242,0,5495.001953125,1.1159169674,7.4600000381,0,0
Mauritius,3.0241777897,0,2861.9992675781,1.1279369593,2.4400000572,0,0
Malta,6.6528377533,0,1374,1.9926156998,5.6399998665,0,0
